slug,agreement_no,url,purpose
dc-21179,21179,https://zoningbylaw.edmonton.ca/dc-21179,"To accommodate a mixed-use development with community, commercial and residential uses on the ground floor that provides for an active and inviting pedestrian-oriented streetscape fronting onto 87 Avenue NW and 118 Street NW."
dc-21193,21193,https://zoningbylaw.edmonton.ca/dc-21193,"To accommodate a small scale mixed-use building with a focus on supportive housing, community services, and other support services."
dc-21205,21205,https://zoningbylaw.edmonton.ca/dc-21205,"To allow a limited range of low intensity, interim land uses, generally outdoors, that do not prejudice future use until the lands are required in accordance with the Griesbach Neighbourhood Area Structure Plan."
dc-21250,21250,https://zoningbylaw.edmonton.ca/dc-21250,"To manage risk associated with the proximity of a pipeline to multi-unit Residential development that ranges from approximately 4 to 6 Storeys and may be arranged in a variety of configurations. Single Detached Housing, Semi-detached Housing, and Duplex Housing are not intended in this Zone unless they form part of a larger multi-unit Residential development. Limited opportunities for community and commercial development are permitted to provide services to local residents."
dc-21276,21276,https://zoningbylaw.edmonton.ca/dc-21276,To allow for mixed use development as well as the development of a car dealership and its ancillary uses along Gateway Boulevard NW.
dc-21312,21312,https://zoningbylaw.edmonton.ca/dc-21312,"To accommodate the development of a range of business employment Uses with potential for limited commercial and service type Uses for servicing the greater neighbourhood. This Zone allows the opportunity for the development of high-rise buildings, which may be designed in a stand-alone or mixed-use format for Hotel and Office developments, together with ancillary and complementary commercial Uses. This Zone provides development controls and urban design regulations and guidelines to establish a high quality urban environment to ensure that the development is well integrated with the adjacent A"
dc-21338,21338,https://zoningbylaw.edmonton.ca/dc-21338,"To allow for offices, light industrial and a variety of small commercial businesses with a higher standard of design that carry out their operations in a manner where no Nuisance is created or apparent outside an enclosed building."
dc-21355,21355,https://zoningbylaw.edmonton.ca/dc-21355,To accommodate the development of a commercial shopping centre with site-specific development controls designed to ensure that development is compatible with the scale and use of neighboring development to minimize land use conflicts. To provide a high quality of development appropriate for the site’s location within an established commercial land use area and adjacent to an entranceway to the city.
dc-21391,21391,https://zoningbylaw.edmonton.ca/dc-21391,"To accommodate Uses related to reproductive and perinatal health, including midwifery-led birthing care and complementary wellness services, within a Garden Suite and the existing or future principal building on the Site, in a form that is compatible with the Residential scale and character of the property and surrounding area, while maintaining the opportunity for Residential Use. 1.2. This Provision enables by-appointment, non-institutional care in a home-like setting and supports access to community-based wellness services."
dc-21393,21393,https://zoningbylaw.edmonton.ca/dc-21393,"To allow for mid-rise multi-unit Residential development, with limited commercial and community uses, with Site-specific regulations to ensure a pedestrian-oriented ground-level interface consistent with applicable statutory plans."
dc-21423,21423,https://zoningbylaw.edmonton.ca/dc-21423,"To accommodate a range of commercial uses, with site development regulations that will ensure a high standard of appearance appropriate to the site’s location at the intersection of a major entrance route to the City and a major arterial (23 Avenue NW)."
dc-21437,21437,https://zoningbylaw.edmonton.ca/dc-21437,
dc-21459,21459,https://zoningbylaw.edmonton.ca/dc-21459,"To allow for light industrial, small commercial businesses and small scale commercial centres Uses that carry out their operations such that no Nuisance is created or apparent outside an enclosed building and are compatible with adjacent Residential, Commercial, Natural Area, and Urban Service Zones Area A is intended to allow for commercial, business, and light industrial Uses with limits to the intensity and range of these uses, as well as provide a buffer area for enhanced sensitivity to adjacent residential neighbourhoods. This Area restricts the expansion of existing residential and"
dc-21463,21463,https://zoningbylaw.edmonton.ca/dc-21463,To accommodate a mixed use development with limited commercial uses and high density residential uses with ground-oriented units fronting onto 86 Avenue NW and 108 Street NW that is compatible with adjacent land uses and supports a pedestrian-friendly streetscape.
dc-21464,21464,https://zoningbylaw.edmonton.ca/dc-21464,To accommodate an additional residential Dwelling on the property in the form of a Single Detached House incorporating Landscaping and design elements to ensure compatibility with the surrounding area.
dc-21471,21471,https://zoningbylaw.edmonton.ca/dc-21471,"To accommodate a mid-rise mixed use transit oriented development that is compatible with the surrounding neighbourhood context, with required non-Residential Uses in the southeast corner of the Site."
dc-21483,21483,https://zoningbylaw.edmonton.ca/dc-21483,"This Zone comprises the original, core commercial area of the former City of Strathcona. This Zone is required to help preserve buildings which are of historic significance, and to ensure that future renovation and redevelopment of surrounding buildings result in developments which are compatible in architectural and built form with the historic buildings of the area. This Zone also contains seven Sub-Areas as described in Subsections 10 to 17."
dc-21486,21486,https://zoningbylaw.edmonton.ca/dc-21486,To accommodate comprehensive mixed use development with housing and an accessory parking lot for Provincial and Municipal purposes.
dc-21522,21522,https://zoningbylaw.edmonton.ca/dc-21522,"To accommodate two residential towers with active Podiums fronting onto Jasper Avenue NW, 115 Street NW, and the east-west Alley which contribute to an inviting pedestrian oriented main street that transitions to the residential character of the Wîhkwêntôwin neighbourhood to the north."
dc1-10468,10468,https://zoningbylaw.edmonton.ca/dc1-10468,To establish a Direct Development Control District to accommodate a limited range of uses such that by limiting the range of specific land uses and developing sensitive site development criteria the development will be compatible with the status of the Telephone Exchange Building as a Municipal Historic Resource and ensure compatibility with existing and future adjacent land uses.
dc1-10705,10705,https://zoningbylaw.edmonton.ca/dc1-10705,"of this District and would not adversely affect the amenities, use and enjoyment of neighbouring properties."
dc1-10886,10886,https://zoningbylaw.edmonton.ca/dc1-10886,"To establish a Direct Development Control district to ensure preservation of the existing single family structure and to accommodate a limited range of uses such that by limiting the range of specific land uses and developing sensitive site development criteria, the development will be compatible with the status of the Jackson House as a Municipal Historic Resource and ensure compatibility with existing and future adjacent land uses."
dc1-11240,11240,https://zoningbylaw.edmonton.ca/dc1-11240,"To establish a Direct Development Control District to accommodate a limited range of uses which will allow for the sensitive restoration and rehabilitation of St. Joseph's Hospital, an historic resource, to a senior's residence with related uses, and ensure compatibility with existing and future adjacent land uses. This site includes an historically significant 6 storey brick building with newer additions on the east, north and west extremities."
dc1-11400,11400,https://zoningbylaw.edmonton.ca/dc1-11400,"To provide a direct control district for detailed, sensitive control of the use, development, siting and design of buildings and disturbance of land where this is necessary to establish, preserve or enhance: a. areas of unique character or special concern, as identified and specified in an Area Structure Plan or Area Redevelopment Plan, or b. areas or sites of special historic, cultural, palaeontological, archaelogical, prehistoric, natural, scientific or aesthetic interest as designated under the Alberta Historical Resources Act (1973). 710.2 Application This district shall only be applied: a"
dc1-11619,11619,https://zoningbylaw.edmonton.ca/dc1-11619,
dc1-11699,11699,https://zoningbylaw.edmonton.ca/dc1-11699,
dc1-12034,12034,https://zoningbylaw.edmonton.ca/dc1-12034,"To establish a Direct Development Control District incorporating site planning and architectural development criteria such that renovations or additions to the Ross Flats Apartment building, or any new development on the site, are compatible with the designation of this building as a Municipal Historic Resource."
dc1-12157-area-1,12157 (A),https://zoningbylaw.edmonton.ca/dc1-12157-area-1,"of this District and would not affect the amenities, use, enjoyment and value of neighbouring properties."
dc1-12157-area-2,12157 (B),https://zoningbylaw.edmonton.ca/dc1-12157-area-2,
dc1-12356,12356,https://zoningbylaw.edmonton.ca/dc1-12356,To provide a Direct Development Control District to accommodate the development of row housing residential dwellings with site specific development controls designed to ensure that the proposed development is integrated into the existing and future residential development both within the J.B. Little site and the entire Riverdale Neighbourhood.
dc1-12482,12482,https://zoningbylaw.edmonton.ca/dc1-12482,"To establish a Direct Development Control District to accommodate a limited range of uses. By limiting the range of specific land uses and developing sensitive site development criteria, a variety of development options will be compatible with the status of the Hudson's Bay Company Department Store building facades which are designated as a Municipal Historic Resource."
dc1-12800,12800,https://zoningbylaw.edmonton.ca/dc1-12800,"To establish a Direct Development Control District to accommodate a limited range of uses such that by limiting the range of specific land uses and developing sensitive site development criteria, the development will be compatible with the future designation of the Churchill Wire Centre Building façades as a Municipal Historic Resource."
dc1-12801,12801,https://zoningbylaw.edmonton.ca/dc1-12801,
