slug,agreement_no,url,purpose
dc1-17884,17884,https://zoningbylaw.edmonton.ca/dc1-17884,The purpose of this Zone is to provide the opportunity for more efficient utilization of suburban areas through increased density of Single Detached Housing and by eliminating the requirement of one Side Yard per lot.
dc1-17918,17918,https://zoningbylaw.edmonton.ca/dc1-17918,The purpose of this Provision is to preserve and enhance the unique visual identity and special character of Church Street. 2. Location This provision shall apply generally to properties along 96 Street NW between 106 Avenue NW and 111 Avenue NW as shown in
dc1-18049,18049,https://zoningbylaw.edmonton.ca/dc1-18049,"The purpose of this DC1 Direct Development Control Provision is to facilitate the development of a pedestrian-friendly and transit-supportive mixed use area that may accommodate a range of commercial, residential, office, entertainment, cultural and institutional uses such that development is appropriate in appearance and function to a Site adjacent to an arterial roadway, transit centre and low-density residential development, and containing a private Natural Area. The Provision is intended to accommodate Site development that will build out over time, intensifying gradually in response to th"
dc1-18099-area-1,18099,https://zoningbylaw.edmonton.ca/dc1-18099-area-1,"The purpose of this Provision is to facilitate the development of a pedestrian friendly and transit-supportive area that is characterized by its strong mix of retail, office, entertainment, and residential uses and its accessibility, open spaces, and sensitive interface between developments."
dc1-18099-area-2,18099,https://zoningbylaw.edmonton.ca/dc1-18099-area-2,"The purpose of this Provision is to facilitate the development of a pedestrian friendly and transit-supportive area that is characterized by its mix of commercial and residential uses, directing the most intensive development around station areas while creating a sensitive transition to the south."
dc1-18099-area-5,18099,https://zoningbylaw.edmonton.ca/dc1-18099-area-5,"The purpose of this Provision is to facilitate a mixed use area that encourages the retention of existing older residential structures and promotes a scale and design that is complementary to the existing low density residential dwellings in the area by providing opportunity for greater residential uses and small scale, low impact commercial uses."
dc1-18123,18123,https://zoningbylaw.edmonton.ca/dc1-18123,To guide the use and development of Boyle Renaissance Phases 1 and 2 which are divided into DC1 Subarea 1 and DC1 Subarea 2 as shown on
dc1-18136,18136,https://zoningbylaw.edmonton.ca/dc1-18136,The purpose of this Zone is to provide the opportunity for more efficient utilization of suburban areas through increased density of Single Detached Housing and by eliminating the requirement of one Side Setback per Lot.
dc1-18153,18153,https://zoningbylaw.edmonton.ca/dc1-18153,The purpose of this Zone is to provide the opportunity for more efficient utilization of suburban areas through increased density of Single Detached Housing and by eliminating the requirement of one Side Setback per Lot.
dc1-18175-hecla-block,18175,https://zoningbylaw.edmonton.ca/dc1-18175-hecla-block,To establish a Direct Development Control District to accommodate a limited range of uses such that by limiting the range of specific land uses that will be compatible with the designation of the Hecla Block as a Municipal Historic Resource.
dc1-18179,18179,https://zoningbylaw.edmonton.ca/dc1-18179,
dc1-18190,18190,https://zoningbylaw.edmonton.ca/dc1-18190,"The purpose of this Zone is to provide for the redevelopment of a municipally designated historic building, the Shop-Easy Grocery Store, while allowing for limited commercial and residential Uses on the site."
dc1-18203,18203,https://zoningbylaw.edmonton.ca/dc1-18203,"To provide a district for low density residential housing (“reverse housing”) whereby residential uses front onto a greenway and vehicular access is provided by a public Lane, providing an opportunity for a unique pedestrian-oriented development."
dc1-18205,18205,https://zoningbylaw.edmonton.ca/dc1-18205,The purpose of this Zone is to provide the opportunity for more efficient utilization of suburban areas through increased density of Single Detached Housing and by eliminating the requirement of one Side Setback per Lot.
dc1-18253,18253,https://zoningbylaw.edmonton.ca/dc1-18253,The purpose of this Zone is to provide for medium density housing with a rear lane.
dc1-18332,18332,https://zoningbylaw.edmonton.ca/dc1-18332,
dc1-18440,18440,https://zoningbylaw.edmonton.ca/dc1-18440,The purpose of this Zone is to provide the opportunity for more efficient utilization of land through increased Density of Single Detached Housing by reducing one Side Setback to zero metres.
dc1-18448,18448,https://zoningbylaw.edmonton.ca/dc1-18448,"This Provision is designed to accommodate the use and preservation of the Wallbridge Residence. This Provision allows Residential and Commercial Uses, while ensuring that any future alterations are compatible with the architectural elements and historical significance of the Residence."
dc1-18461,18461,https://zoningbylaw.edmonton.ca/dc1-18461,"To provide a Direct Development Control District to preserve and enhance a special heritage area comprised of historic, civic and cultural elements while permitting a wide range of general business commercial and residential opportunities. The District supports the adaptive reuse of historic buildings and provides guidelines for sympathetic infill development along Jasper Avenue and 97 Street. The District also creates a pedestrian-oriented linkage between major developments in the Downtown and the Chinatown areas in order to achieve the intent of Section 7.2.6 of the Boyle Street/McCauley Are"
dc1-18468,18468,https://zoningbylaw.edmonton.ca/dc1-18468,"To establish a Direct Development Control Provision to support a development primarily supporting extended medical treatment services that integrate well with the community. Supportive and complementary uses such as housing and a limited range of related retail, service and community uses are included. Specific development regulations will ensure a high quality development compatible with the adjacent residential and non-residential land uses."
dc1-18497,18497,https://zoningbylaw.edmonton.ca/dc1-18497,The purpose of this Zone is to provide the opportunity for more efficient utilization of suburban areas through increased density of Single Detached Housing and by allowing Zero Lot Line Development.
dc1-18559,18559,https://zoningbylaw.edmonton.ca/dc1-18559,The purpose of this zone is to provide for a range of commercial and business uses on a site that maintains high visibility and access to Mark Messier Trail NW.
dc1-18583,18583,https://zoningbylaw.edmonton.ca/dc1-18583,"To preserve and enhance the Gibbard Block, a municipally designated historic building, providing the opportunity for a mix of uses to operate within the building."
dc1-18591,18591,https://zoningbylaw.edmonton.ca/dc1-18591,"To accommodate a limited range of uses and to ensure the continued operation and preservation of the Rodd Apartments, a designated Municipal Historic Resource."
dc1-18597,18597,https://zoningbylaw.edmonton.ca/dc1-18597,To establish a Direct Development Control Provision for the development of a pre-existing shopping centre that serves the community and regional trade area in a manner that is compatible with adjacent non-commercial uses.
dc1-18607,18607,https://zoningbylaw.edmonton.ca/dc1-18607,"The purpose of this Zone is to provide for Single Detached and Semi-detached Housing, including Zero Lot Line Development, with front attached Garages, that provides the opportunity for more efficient utilization of land in the Edgemont neighbourhood."
dc1-18626,18626,https://zoningbylaw.edmonton.ca/dc1-18626,"To establish a (DC1) Direct Development Control Provision to accommodate a limited range of uses and development regulations that will ensure the continued operation and preservation of the Oblats Maison Provinciale, a designated Municipal Historic Resource."
dc1-18632,18632,https://zoningbylaw.edmonton.ca/dc1-18632,"The purpose of this Zone is to allow for zero lot line with front drive access of a collector roadway, and to provide the opportunity for more efficient utilization of land through increased Density of Single Detached Housing by reducing one Side Setback to zero metres."
dc1-18680,18680,https://zoningbylaw.edmonton.ca/dc1-18680,The purpose of this Provision is to facilitate the development of Single Detached Housing in the form of small lot sizes and increased density
dc1-18685-area,18685,https://zoningbylaw.edmonton.ca/dc1-18685-area,The purpose of this Direct Development Control Provision is to provide for smaller lot Single Detached Housing with attached garages in a suburban setting that provides the opportunity for Zero Lot Line Development.
dc1-18685-area-b,18685,https://zoningbylaw.edmonton.ca/dc1-18685-area-b,"The purpose of this Zone is to provide for smaller lot Single Detached Housing with access from a Lane, including Zero Lot Line Development that provides the opportunity for the more efficient utilization of land in developing neighbourhoods, while maintaining the privacy and independence afforded by Single Detached Housing forms."
dc1-18712,18712,https://zoningbylaw.edmonton.ca/dc1-18712,"To preserve and enhance the Alex Cormack Residence, a municipally designated historic building, and allow residential and residential-related uses."
dc1-18748,18748,https://zoningbylaw.edmonton.ca/dc1-18748,The purpose of this Zone is to provide the opportunity for more efficient utilization of suburban areas through increased density of Single Detached Housing by allowing Zero Lot Line Development.
dc1-18769,18769,https://zoningbylaw.edmonton.ca/dc1-18769,"The purpose of this Zone is to provide for Single Detached Housing with attached Garages in a suburban setting that provides smaller Lot sizes with reduced Site Widths, allowing for more efficient utilization of land through increased Density."
dc1-18795,18795,https://zoningbylaw.edmonton.ca/dc1-18795,"To provide for low density residential housing (“reverse housing”) whereby homes front onto a private greenway corridor and vehicular access is provided by a public lane, providing an opportunity for a unique pedestrian-oriented development."
dc1-18832,18832,https://zoningbylaw.edmonton.ca/dc1-18832,"This Provision is designed to accommodate the use and preservation of the Griffith Residence as a designated Municipal Historic Resource. This Provision allows Residential and Residential-related Uses, while ensuring that any future alterations are compatible with the architectural elements and historical significance of the Residence."
dc1-18836,18836,https://zoningbylaw.edmonton.ca/dc1-18836,"To establish a Direct Development Control Provision to provide for developments of an institutional or community service nature, and to mitigate risk around pipeline rights of way and abandoned well sites."
dc1-18848,18848,https://zoningbylaw.edmonton.ca/dc1-18848,"To allow for the existing building on-site as of the date of this bylaw to be used for commercial purposes while ensuring future buildings accommodate a transit-oriented development/high density residential mixed use node that creates a liveable “urban village” environment and generates an improved sense of place and quality development through the use of urban design regulations and the introduction of high density apartment housing adjacent to the Downtown area and future high speed transit corridors. Minor local commercial uses will be encouraged, but not required."
dc1-18885,18885,https://zoningbylaw.edmonton.ca/dc1-18885,"To accommodate the retention and adaptive reuse of the historic Street Railway Substation No. 600 building and the development of a new low-rise building with a limited range of commercial uses. 2. Area of Applicability This Provision shall apply to Lot 2, Block 24, Plan RN22 as shown on Schedule “A” of this Bylaw adopting this Provision, Westmount."
dc1-18890,18890,https://zoningbylaw.edmonton.ca/dc1-18890,"To establish a Direct Development Control Provision to accommodate utility systems or works limited to a Renewable Energy Device (solar power plant) and future water treatment plant and Community, Educational, Recreational and Cultural Services."
dc1-18922,18922,https://zoningbylaw.edmonton.ca/dc1-18922,"To provide for Row Housing with vehicular access from a Lane, increased Site Coverage, increased Height, and decreased side Setbacks."
dc1-18934,18934,https://zoningbylaw.edmonton.ca/dc1-18934,"To ensure that development is sensitively integrated with the historic context of the area and reinforces elements of the area’s character including the traditional pattern of single-detached development, urban design characteristics, and historic craftsman and foursquare architecture."
dc1-19022,19022,https://zoningbylaw.edmonton.ca/dc1-19022,"To accommodate the designation of Douglas Manor as a Municipal Historic Resource and to allow a mixed-use addition to the building that is sympathetic to, and compatible with, the existing building and the surrounding neighbourhood context."
dc1-19035,19035,https://zoningbylaw.edmonton.ca/dc1-19035,"To provide for a mix of commercial and residential uses organized along a central, publicly accessible private roadway."
dc1-19051,19051,https://zoningbylaw.edmonton.ca/dc1-19051,"To preserve and enhance the Stovel Block, a municipally designated historic building, while providing an active, pedestrian friendly frontage and accommodating a range of uses to operate within the building."
dc1-19066,19066,https://zoningbylaw.edmonton.ca/dc1-19066,"To provide for multi-unit housing, with taller heights and increased site coverage, serviced by a Public Roadway and a Lane."
dc1-19115,19115,https://zoningbylaw.edmonton.ca/dc1-19115,"To preserve and enhance the Hudson’s Bay Company Stables/Ortona Armoury, a designated Municipal Historic Resource, as an arts and community hub, including a sympathetic addition to the building to enclose the courtyard and improvements to site accessibility."
dc1-19135,19135,https://zoningbylaw.edmonton.ca/dc1-19135,"To preserve the Rossdale Brewery- a designated historic resource- and provide a district for a mix of residential, parks, commercial, entertainment, cultural and educational uses appropriate to its relationship to the downtown and the river edge and to the River Valley lands. A mixed-use urban environment with a balanced range of opportunities for living, working and recreation will be encouraged. Development will be sensitive to the existing scale and historic character of the Rossdale Brewery, incorporating it as the predominant structure. Commercial Uses will be concentrated in the Rossdale"
dc1-19186,19186,https://zoningbylaw.edmonton.ca/dc1-19186,"To provide a district for low density residential housing as Reverse Housing, providing an opportunity for a unique pedestrian-oriented development."
dc1-19232,19232,https://zoningbylaw.edmonton.ca/dc1-19232,To allow for the development of Multi-Unit Housing in the form of Row Housing to be developed on individual shallow lots.
dc1-19266,19266,https://zoningbylaw.edmonton.ca/dc1-19266,"To accommodate opportunities for the development of medium density residential uses on the Site. Prior to the issuance of a Development Permit an Environmental Impact Screening Report, in accordance with Schedule D of the North Saskatchewan River Valley Area Redevelopment Plan shall be submitted and approved by City Council for the construction of 16 Avenue, from Whispering River Drive to the Transportation Utility Corridor. City Council may require that any identified adverse impacts be eliminated, minimized or mitigated through design and landscaping measures."
dc1-19270,19270 (3),https://zoningbylaw.edmonton.ca/dc1-19270,
dc1-19308,19308,https://zoningbylaw.edmonton.ca/dc1-19308,"To provide for Multi-unit Housing in the form of Row Housing with increased height, site coverage, and reduced rear setbacks for detached garages."
dc1-19316,19316,https://zoningbylaw.edmonton.ca/dc1-19316,"To provide for Multi-unit Housing in the form of Row Housing with increased height, site coverage, and reduced rear setbacks for detached garages."
dc1-19331,19331,https://zoningbylaw.edmonton.ca/dc1-19331,"To provide for the preservation and restoration of Delton Grocery, a designated Municipal Historic Resource, while allowing for the development of complementary and compatible pedestrian friendly commercial and residential Uses on the remaining portions of the Site."
dc1-19382,19382,https://zoningbylaw.edmonton.ca/dc1-19382,To accommodate the development of medium density Residential with limited low intensity Commercial Uses.
dc1-19431,19431,https://zoningbylaw.edmonton.ca/dc1-19431,"The purpose of this DC1 Provision is to facilitate the development of a Community Commercial Centre in the Walker Neighbourhood that may accommodate a range of commercial, office, entertainment, cultural and institutional uses such that development is appropriate in appearance and function to a Site bounded by two arterial roadways, a collector roadway and a future Transit Priority Corridor."
dc1-19477,19477,https://zoningbylaw.edmonton.ca/dc1-19477,This Provision is designed to accommodate the use and preservation of the Walton L. Smith Residence as a designated Municipal Historic Resource. This Provision allows Residential and Residential-related Uses while ensuring that any future alterations are compatible with the architectural elements and historical significance of the Residence.
dc1-19485-area,19485,https://zoningbylaw.edmonton.ca/dc1-19485-area,"To provide for single detached housing uses on shallow lots with reduced prominence of garages along the streetscape, efficiently utilizing undeveloped suburban land."
dc1-19485-area-b,19485,https://zoningbylaw.edmonton.ca/dc1-19485-area-b,"To provide for semi-detached residential housing whereby homes front onto a public park space and vehicular access is provided by a public lane, providing the opportunity for pedestrian-oriented development."
dc1-19485-area-c,19485,https://zoningbylaw.edmonton.ca/dc1-19485-area-c,"To provide for residential development with front attached garages, in the form of back to back attached stacked row housing on small lots."
dc1-19485-area-d,19485,https://zoningbylaw.edmonton.ca/dc1-19485-area-d,To provide for ground oriented housing with slightly increased site coverage than the regulations found within the RF5 Row Housing Zone.
dc1-19505,19505,https://zoningbylaw.edmonton.ca/dc1-19505,To accommodate the development of the Hospital and Health Campus in keeping with the policies outlined in the Heritage Valley Neighbourhood 14 Neighbourhood Area Structure Plan (NASP).
dc1-19506,19506,https://zoningbylaw.edmonton.ca/dc1-19506,"To accommodate a limited range of institutional, office and personal services uses that will be compatible with the designation of the St. Francis of Assisi Friary / St. Anthony’s College as both a heritage site and a residential area that supports the ongoing use of the heritage building."
dc1-19509,19509,https://zoningbylaw.edmonton.ca/dc1-19509,"The purpose of this Zone is to provide for Multi-Unit Housing in the form of Row Housing, where some units may not be at Grade."
dc1-19546,19546,https://zoningbylaw.edmonton.ca/dc1-19546,"The purpose of this Zone is to provide for a Single Detached house, Secondary Suite, and Garden Suite to be constructed on the same lot, to allow for gentle Density increases."
dc1-19568,19568,https://zoningbylaw.edmonton.ca/dc1-19568,The purpose of this Zone is to provide for Single Detached Housing with front attached Garages and increased site coverage.
dc1-19570,19570,https://zoningbylaw.edmonton.ca/dc1-19570,"To provide for Row Housing, developed as individual lots with front attached garages and greater height and site coverage than allowed by the (RF5) Row Housing Zone."
dc1-19628,19628,https://zoningbylaw.edmonton.ca/dc1-19628,"To preserve Hangar 14, housing the Alberta Aviation Museum, a designated Municipal Historic Resource, as an museum and community hub, including additional signage opportunities and improvements to site accessibility."
dc1-19636,19636,https://zoningbylaw.edmonton.ca/dc1-19636,To provide for ground oriented Multi-unit Housing in the form of Row Housing with increased Site Coverage and Height.
dc1-19662,19662,https://zoningbylaw.edmonton.ca/dc1-19662,"To accommodate the retention of the historic facades and key character defining elements of the West End Telephone Exchange Building, the development of a new 2-storey commercial building, and the adaptive reuse of a former electrical substation building with a limited range of commercial uses. 2. Area of Applicability This Provision shall apply to Lot 17A, Block 20, Plan 1723133 and Lot 18 - 19, Block 20, Plan 4423AJ located east of 121 Street NW and south of 102 Avenue NW, as shown on Schedule “A” of this Bylaw adopting this Provision, Oliver."
dc1-19663,19663,https://zoningbylaw.edmonton.ca/dc1-19663,The purpose of this Zone is to provide the opportunity for the development of an RLD lot with wellsite development restrictions.
dc1-19674,19674,https://zoningbylaw.edmonton.ca/dc1-19674,To allow for the development of Multi-Unit Housing in the form of Row Housing to be developed on individual shallow lots.
dc1-19693,19693,https://zoningbylaw.edmonton.ca/dc1-19693,"To allow for the development of Multi-Unit Housing in the form of row housing with rear attached Garages, to be developed on individual lots."
dc1-19714,19714,https://zoningbylaw.edmonton.ca/dc1-19714,To accommodate the development of a mid-rise residential building and the historic preservation of the Canadian Pacific Railway Station designed to create a high-quality urban environment along Gateway Boulevard NW.
dc1-19719,19719,https://zoningbylaw.edmonton.ca/dc1-19719,
dc1-19743-area,19743,https://zoningbylaw.edmonton.ca/dc1-19743-area,The purpose of this Zone is to provide for low density housing types including Single and Semi-detached housing with rear garages and reduced site depth.
dc1-19743-area-b,19743,https://zoningbylaw.edmonton.ca/dc1-19743-area-b,The purpose of this Zone is to provide for a mix of low density housing types including Single Detached and Semi-detached housing with reduced side setbacks.
dc1-19755,19755,https://zoningbylaw.edmonton.ca/dc1-19755,To preserve the historic Ritchie Mill by accommodating a mix of commercial uses within the historic structure as well as a contextually appropriate building expansion.
dc1-19761,19761,https://zoningbylaw.edmonton.ca/dc1-19761,The purpose of this DC1 Direct Development Control Provision is to provide for business and commercial uses on sites with good visibility and accessibility along 137 Avenue and 142 Street.
dc1-19771,19771,https://zoningbylaw.edmonton.ca/dc1-19771,The purpose of this provision is to facilitate a Light Rail Transit Station with associated maintenance and park and ride facilities while incorporating the necessary drainage and ecological requirements to protect an adjacent natural area.
dc1-19789,19789,https://zoningbylaw.edmonton.ca/dc1-19789,"To preserve the Cecil Burgess Residence as a Designated Municipal Historic Resource and ensure future alterations, Accessory buildings, and uses are compatible with the historic building while allowing for a Garden Suite with limited Accessory Non-Residential Uses at the rear of the Site."
dc1-19798,19798,https://zoningbylaw.edmonton.ca/dc1-19798,"To establish a Direct Development Control Provision to provide for a business employment area with a mix of commercial, business, and light industrial Uses that carry out their operations such that no nuisance is created or apparent outside an enclosed building and are compatible with adjacent Residential, Commercial, and Urban Service Zones in accordance with the Lewis Farms Business Employment Neighbourhood Structure Plan. The site is intended to allow for low intensity commercial, office and service Uses located along the 215 Street arterial roadway. All Development shall be sensitive and i"
dc1-19816,19816,https://zoningbylaw.edmonton.ca/dc1-19816,
dc1-19827,19827,https://zoningbylaw.edmonton.ca/dc1-19827,The purpose of this Zone is to provide for low density housing types including Single and Semi-detached housing with rear garages and reduced site depth.
dc1-19835,19835,https://zoningbylaw.edmonton.ca/dc1-19835,"To accommodate the development of a range of commercial and institutional uses with additional opportunity for a complementary mix of residential in the form multi-unit housing. This establishes a high quality urban environment,that is well integrated with the adjacent Ambleside commercial and residential areas and to create an aesthetic and architecturally appealing development adjacent to Anthony Henday Drive."
dc1-19847,19847,https://zoningbylaw.edmonton.ca/dc1-19847,"The purpose of this Provision is to establish opportunities for a mix of residential and commercial uses and pedestrian oriented development within 400m of the Desrochers LRT station, while providing a transition in form and scale from higher to lower intensity and density development."
dc1-19860,19860,https://zoningbylaw.edmonton.ca/dc1-19860,"To accommodate a mixed use high rise development that is compatible in scale, function and built form with the surrounding historic warehouse area, contributing to an active streetscape and also incorporating the south and west Façades of the historic Horne &amp; Pitfield building."
dc1-19863,19863,https://zoningbylaw.edmonton.ca/dc1-19863,"To preserve the John L. Lang Apartments, a Municipal Historic Resource, to allow a mix of small-scale commercial and residential uses within the existing building."
dc1-19884,19884,https://zoningbylaw.edmonton.ca/dc1-19884,"The purpose of this Provision is to accommodate a commercial shopping centre with development controls and urban design regulations and guidelines to establish a high quality urban environment. Commercial, retail and office uses shall be included and will be developed as a larger shopping complex, a main street and stand-alone pads comprehensively designed to improve the pedestrian and shopping environment, and allow for limited opportunities for residential uses in the form of Multi-Unit Housing."
dc1-19887,19887,https://zoningbylaw.edmonton.ca/dc1-19887,"The purpose of this Provision is to provide shallow lot Single Detached Housing uses with attached Garages that reduce the prominence of garages to the street and efficiently utilize undeveloped suburban areas. 2. Application This Provision shall apply to Lot A, Plan 2056NY; Lots 2-31, Block 1, Plan 1820076; Lots 1-26 &amp; 28-48, Block 2 Plan 1820076; Lots 8-33, Block 2, Plan 1820076; and Lots 3-15, Block 4, Plan 1820076, located west of 91 Street SW and south of Orchards Drive SW, as shown on Schedule “A” of the Bylaw adopting this Provision. The Uses and Regulations as outlined in this prov"
dc1-19888,19888,https://zoningbylaw.edmonton.ca/dc1-19888,"To preserve the Barto Residence, a designated Municipal Historic Resource, while allowing for a mix of both Residential and Non-Residential Uses, which are compatible with and enhance the surrounding neighbourhood."
dc1-19932,19932,https://zoningbylaw.edmonton.ca/dc1-19932,To provide for Multi-unit Housing in the form of Row Housing.
dc1-19966,19966,https://zoningbylaw.edmonton.ca/dc1-19966,To allow Multi-unit housing to be developed in the form of Row Housing with increased Height on individual lots.
dc1-19988,19988,https://zoningbylaw.edmonton.ca/dc1-19988,"To preserve the unique architectural character of a portion of 81 Avenue NW, provide for new commercial and compatible mixed use development opportunities and, if possible, preserve the view of the historic Canadian Pacific Railway Station to the west. This provision creates a unique pedestrian commercial shopping district while ensuring future development is compatible with the character of buildings with historic false Façades."
dc1-19998,19998,https://zoningbylaw.edmonton.ca/dc1-19998,"To allow for the development of Multi-unit Housing in the form of Row Housing with reduced Site Depth, and increased Site Coverage and Height."
dc1-20060,20060,https://zoningbylaw.edmonton.ca/dc1-20060,"To allow Multi-unit Housing to be developed in the form of row housing on individual lots with taller heights and increased site coverage, serviced by a Public Roadway and a Lane."
dc1-20093,20093,https://zoningbylaw.edmonton.ca/dc1-20093,"The purpose of this Provision is to provide for a variety of low density housing types including Single and Semi-detached housing with, or without rear attached garages."
dc1-20124-area,20124,https://zoningbylaw.edmonton.ca/dc1-20124-area,"To provide for lane access, Single Detached Housing with either rear attached garages and reduced site depth or the opportunity to develop both Garden Suites and Secondary Suites in conjunction with the principal dwelling."
dc1-20124-area-b,20124,https://zoningbylaw.edmonton.ca/dc1-20124-area-b,"To provide a district for shallow lot Multi-unit Housing in the form of row housing, and Semi-detached Housing with rear attached garages."
dc1-20164-area-5,20164,https://zoningbylaw.edmonton.ca/dc1-20164-area-5,
dc1-20167,20167,https://zoningbylaw.edmonton.ca/dc1-20167,"To preserve the Magrath Mansion as a Designated Municipal Historic Resource and a Provincial Historic Resource, and ensure future alterations, Accessory Buildings, and Uses are compatible with the historic building."
dc1-20181,20181,https://zoningbylaw.edmonton.ca/dc1-20181,"To allow for the adaptive reuse of the historic Hangar 11 building as a mixed-use building, including alterations to the building’s interior and exterior."
dc1-20229,20229,https://zoningbylaw.edmonton.ca/dc1-20229,The purpose of this Zone is to facilitate the development of Single Detached Housing that allows for a unique configuration of minimum Side Setback requirements.
dc1-20285,20285,https://zoningbylaw.edmonton.ca/dc1-20285,"To allow for Single Detached Housing, Single Detached Housing - Zero Lot Line Development and Semi-detached Housing serviced by both a public roadway and a Lane with rear garages on lots with reduced Site depth."
dc1-20301,20301,https://zoningbylaw.edmonton.ca/dc1-20301,"The purpose of this Provision is to accommodate mid- and high-rise mixed-Use (but predominantly residential) development with active retail and residential street Frontages that is pedestrian friendly and compatible in scale, function, built form and design with surrounding developments and open space and/or accessible public assembly space for passive and active Use, all in accordance with Section 860 of the Zoning Bylaw, The Quarters Downtown Area Redevelopment Plan and The Quarters Downtown Urban Design Plan."
dc1-20340,20340,https://zoningbylaw.edmonton.ca/dc1-20340,"To facilitate the development of a pedestrian friendly Community Commercial Centre that may accommodate a range of commercial, residential, office, entertainment, cultural and institutional uses such that development is appropriate in appearance and function to a site bounded by two arterial roadways, a collector roadway, and a future Transit Priority Corridor, and abutting a natural area, a medium density residential site, and an existing religious assembly."
dc1-20354,20354,https://zoningbylaw.edmonton.ca/dc1-20354,To provide a district for shallow lot Multi-unit Housing in the form of row housing and Semi-detached Housing with rear attached garages.
dc1-20433,20433,https://zoningbylaw.edmonton.ca/dc1-20433,"To allow for a mixed use, high density, development that is compatible with the surrounding area and incorporates a mix of Uses in a pedestrian-friendly environment."
dc1-20460,20460,https://zoningbylaw.edmonton.ca/dc1-20460,To accommodate the continued use of the existing Loyal Orange Lodge No. 1654 for community and cultural uses.
dc1-20462,20462,https://zoningbylaw.edmonton.ca/dc1-20462,"The purpose of this (DC1) Direct Development Control Provision is to facilitate the development of a pedestrian oriented and transit-supportive mixed use area that may accommodate a range of commercial, residential, and office uses."
dc1-20477,20477,https://zoningbylaw.edmonton.ca/dc1-20477,"To accommodate the retention and redevelopment of the existing Transit Hotel as part of the infill and intensification strategy along Fort Road NW as a transit-oriented, ”urban village” within walking distance to the Belvedere LRT Station."
dc1-20518,20518,https://zoningbylaw.edmonton.ca/dc1-20518,"To facilitate the creation of a high density, mixed-use, urban village development adjacent to the Stadium LRT Station. This Zone allows for low, medium and high-rise residential development with high-rise Towers set back on podiums, integrated with limited commercial, office and service Uses in appropriate areas. The development will feature two Pocket Parks/Plazas at the north and south interface, a commercial main street to enhance the pedestrian environment and aesthetic quality, and strong pedestrian connections to the LRT Station via pedestrian-friendly streets and paths."
dc1-20538,20538,https://zoningbylaw.edmonton.ca/dc1-20538,To preserve the historic Balfour Manor by accommodating a mix of uses within the historic structure as well as a sympathetic addition that will provide an active and enhanced interface along 116 Street NW.
dc1-20649,20649,https://zoningbylaw.edmonton.ca/dc1-20649,The purpose of this Provision is to provide for Single Detached Zero Lot Line housing and Secondary Suites with rear detached garages and Garden Suites.
dc1-20650,20650,https://zoningbylaw.edmonton.ca/dc1-20650,"The purpose of this Provision is to provide for Zero Lot Line Development of Single Detached Housing with rear detached garages, Secondary Suites, and Garden Suites."
dc1-20651,20651,https://zoningbylaw.edmonton.ca/dc1-20651,"The purpose of this Provision is to provide for Zero Lot Line Development of Single Detached Housing with rear detached garages, Secondary Suites, and Garden Suites."
dc1-20692,20692,https://zoningbylaw.edmonton.ca/dc1-20692,"To accommodate development of a compatible and diverse mix of business industrial uses carried out within an enclosed building, and commercial uses, both with a high quality built form located at, and appropriate to the entrance to the Heritage Valley area and being visible from the Calgary Trail / Gateway Boulevard corridor."
dc1-20696,20696,https://zoningbylaw.edmonton.ca/dc1-20696,"To accommodate the creation of new lots and new local roads in a zone that supports a variety of single family, low-rise and medium scale building at a density consistent with the Neighbourhood Structure Plan and providing uses that meet the needs of the local community."
dc1-6220,6220,https://zoningbylaw.edmonton.ca/dc1-6220,
dc1-6380,6380,https://zoningbylaw.edmonton.ca/dc1-6380,
dc1-6502,6502,https://zoningbylaw.edmonton.ca/dc1-6502,"To provide a direct control district for detailed, sensitive control of the use, development, siting and design of buildings and disturbance of land where this is necessary to establish, preserve or enhance: a. areas of unique character or special concern, as identified and specified in an Area Structure Plan or Area Redevelopment Plan, or b. areas or sites of special historic, cultural, palaeontological, archaelogical, prehistoric, natural, scientific or aesthetic interest as designated under the Alberta Historical Resources Act (1973). 710.2 Application This district shall only be applied: a"
dc1-7085,7085,https://zoningbylaw.edmonton.ca/dc1-7085,"To provide a district for relatively low to medium density multiple family housing, generally as row housing on a specific site. 2. Permitted Uses Row Housing, including Linked Housing and Semi-detached housing, on a site of 1.4 ha. (3.46) acres or less in size. 3. Discretionary Uses row housing; home crafts; Offices-in-the-home; Daytime Child Care Services."
dc1-9508,9508,https://zoningbylaw.edmonton.ca/dc1-9508,To establish a site Specific Direct Control District for industrial and commercial business which carry out their operation such that no nuisance factor is created or apparent outside an enclosed building and such-that the district is compatible with surrounding land uses.
dc2-100,100,https://zoningbylaw.edmonton.ca/dc2-100,"To establish a Site Specific Development Control District to accommodate a day care centre and low to medium density multiple family housing, generally as row housing and to establish sensitive site development regulations that will ensure compatibility with surrounding land uses."
dc2-1002,1002,https://zoningbylaw.edmonton.ca/dc2-1002,"The purpose of this Zone is to provide for medium density housing in the form of Semi-detached, Row Housing, Stacked Row Housing and Apartment Housing, where some units may not be at Grade allowing for more efficient utilization of the site."
dc2-1006,1006,https://zoningbylaw.edmonton.ca/dc2-1006,"To allow for a mixed-use, mid-rise development, Spruce Avenue."
dc2-1007,1007,https://zoningbylaw.edmonton.ca/dc2-1007,To provide low-density housing with the opportunity to create an individually titled lot for a dwelling unit adjacent to the lane.
